station_name,latitude,longitude,source_type,kgis_code,station_code,department_code,raw_file
Cowlbazar PS,15.1377060002966,76.9029290003413,Karnataka Police Station,29565055008031140000HMPOLPUOFFPOS0001,PS - 01,164450334,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Bruceept PS,15.1381910002788,76.926339999684,Karnataka Police Station,29565055008031140000HMPOLPUOFFPOS0002,PS - 02,164450333,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Gandhinagar PS,15.1453570003326,76.9310599996091,Karnataka Police Station,29565055008031140000HMPOLPUOFFPOS0003,PS - 03,164450335,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Moka PS,15.2415620004472,77.0592210003737,Karnataka Police Station,29565055006048970000HMPOLPUOFFPOS0001,PS - 04,164450342,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
P.D. Halli PS,15.1431280002221,77.0521400001877,Karnataka Police Station,29565055006049420000HMPOLPUOFFPOS0001,PS - 05,164450339,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Siruguppa PS,15.6383359999,76.8997300001426,Karnataka Police Station,29565054998031120000HMPOLPUOFFPOS0001,PS - 06,164450347,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Hatcholli PS,15.7909469995702,76.9873140001969,Karnataka Police Station,29565054996048130000HMPOLPUOFFPOS0001,PS - 07,164450348,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Tekkalkota PS,15.5376800002708,76.8809819995407,Karnataka Police Station,29565054998031130000HMPOLPUOFFPOS0001,PS - 08,164450344,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Sirigeri PS,15.4412980001563,76.8388910003465,Karnataka Police Station,29565054996047870000HMPOLPUOFFPOS0001,PS - 09,164450346,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kurugodu PS,15.3442250003186,76.8353150001382,Karnataka Police Station,29565055006048700000HMPOLPUOFFPOS0001,PS - 10,164450343,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
